year,class,drive,transmission,engine_cylinders,engine_displacement,fuel_type_1,city_mpg_ft1,highway_mpg_ft1,highway_electricity_consumption,combined_mpg_ft1,combined_electricity_consumption,annual_fuel_cost_ft1,annual_consumption_in_barrels_ft1,tailpipe_co2_in_grams_mile_ft1,gears
1984,Small Pickup Trucks,2,Manual,4.0,2.6,Regular Gasoline,18,23,0.0,20,0.0,1750,16.4805,444.35,5
1984,Small Pickup Trucks,2,Manual,4.0,2.3,Diesel,24,27,0.0,25,0.0,1550,15.2874,407.2,5
1984,Small Pickup Trucks,2,Auto,4.0,2.2,Regular Gasoline,18,24,0.0,21,0.0,1650,15.69571429,423.1904762,3
1984,Small Pickup Trucks,2,Auto,4.0,2.2,Regular Gasoline,19,24,0.0,21,0.0,1650,15.69571429,423.1904762,3
1984,Small Pickup Trucks,2,Manual,4.0,2.2,Regular Gasoline,21,28,0.0,23,0.0,1500,14.33086957,386.3913043,4
1984,Small Pickup Trucks,2,Manual,4.0,2.2,Regular Gasoline,20,29,0.0,23,0.0,1500,14.33086957,386.3913043,5
1984,Pickup Trucks,4|All Wheel ,Manual,6.0,3.7,Regular Gasoline,13,15,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,Special Purpose Vehicle,4|All Wheel ,Auto,6.0,4.9,Regular Gasoline,12,13,0.0,13,0.0,2700,25.35461538,683.6153846,3
1984,Special Purpose Vehicle,4|All Wheel ,Manual,6.0,4.9,Regular Gasoline,14,17,0.0,15,0.0,2350,21.974,592.4666667,4
1984,Special Purpose Vehicle,4|All Wheel ,Manual,6.0,4.9,Regular Gasoline,13,15,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,Special Purpose Vehicle,4|All Wheel ,Manual,8.0,5.0,Regular Gasoline,11,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,Special Purpose Vehicle,4|All Wheel ,Manual,6.0,4.9,Regular Gasoline,12,16,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,Special Purpose Vehicle,4|All Wheel ,Auto,6.0,2.8,Regular Gasoline,15,17,0.0,16,0.0,2200,20.600625,555.4375,3
1984,Special Purpose Vehicle,4|All Wheel ,Auto,6.0,2.8,Regular Gasoline,13,15,0.0,14,0.0,2500,23.54357143,634.7857143,3
1984,Special Purpose Vehicle,4|All Wheel ,Manual,6.0,2.8,Regular Gasoline,16,22,0.0,18,0.0,1950,18.31166667,493.7222222,4
1984,Special Purpose Vehicle,4|All Wheel ,Manual,6.0,2.8,Regular Gasoline,15,19,0.0,17,0.0,2050,19.38882353,522.7647059,4
1984,Special Purpose Vehicle,4|All Wheel ,Manual,6.0,2.8,Regular Gasoline,15,20,0.0,17,0.0,2050,19.38882353,522.7647059,5
1984,Small Pickup Trucks,2,Manual,4.0,2.0,Regular Gasoline,21,25,0.0,22,0.0,1600,14.98227273,403.9545455,4
1984,"Vans, Passenger Type",2,Auto,6.0,4.9,Regular Gasoline,12,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,"Vans, Passenger Type",2,Auto,8.0,5.0,Regular Gasoline,11,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,"Vans, Passenger Type",2,Manual,6.0,4.9,Regular Gasoline,13,17,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,"Vans, Passenger Type",2,Manual,8.0,5.0,Regular Gasoline,11,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,"Vans, Passenger Type",2,Manual,6.0,4.9,Regular Gasoline,12,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,"Vans, Cargo Type",2,Auto,6.0,4.9,Regular Gasoline,13,15,0.0,14,0.0,2500,23.54357143,634.7857143,3
1984,"Vans, Cargo Type",2,Auto,6.0,4.9,Regular Gasoline,14,18,0.0,15,0.0,2350,21.974,592.4666667,4
1984,"Vans, Cargo Type",2,Auto,8.0,5.0,Regular Gasoline,12,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,"Vans, Cargo Type",2,Auto,6.0,4.9,Regular Gasoline,13,18,0.0,15,0.0,2350,21.974,592.4666667,4
1984,"Vans, Cargo Type",2,Manual,6.0,4.9,Regular Gasoline,15,18,0.0,16,0.0,2200,20.600625,555.4375,3
1984,"Vans, Cargo Type",2,Manual,6.0,4.9,Regular Gasoline,15,17,0.0,15,0.0,2350,21.974,592.4666667,3
1984,"Vans, Cargo Type",2,Manual,6.0,4.9,Regular Gasoline,12,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,"Vans, Cargo Type",2,Manual,6.0,4.9,Regular Gasoline,16,22,0.0,18,0.0,1950,18.31166667,493.7222222,4
1984,"Vans, Cargo Type",2,Manual,8.0,5.0,Regular Gasoline,12,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,"Vans, Cargo Type",2,Manual,6.0,4.9,Regular Gasoline,15,19,0.0,16,0.0,2200,20.600625,555.4375,4
1984,"Vans, Cargo Type",2,Auto,6.0,4.9,Regular Gasoline,12,14,0.0,13,0.0,2700,25.35461538,683.6153846,3
1984,"Vans, Cargo Type",2,Auto,6.0,4.9,Regular Gasoline,12,15,0.0,13,0.0,2700,25.35461538,683.6153846,3
1984,"Vans, Cargo Type",2,Auto,6.0,4.9,Regular Gasoline,11,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,"Vans, Cargo Type",2,Auto,8.0,5.0,Regular Gasoline,11,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,"Vans, Cargo Type",2,Auto,6.0,4.9,Regular Gasoline,12,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,"Vans, Cargo Type",2,Manual,6.0,4.9,Regular Gasoline,14,15,0.0,14,0.0,2500,23.54357143,634.7857143,3
1984,"Vans, Cargo Type",2,Manual,6.0,4.9,Regular Gasoline,13,15,0.0,14,0.0,2500,23.54357143,634.7857143,3
1984,Pickup Trucks,2,Auto,6.0,4.9,Regular Gasoline,13,15,0.0,14,0.0,2500,23.54357143,634.7857143,3
1984,Pickup Trucks,2,Auto,6.0,4.9,Regular Gasoline,14,18,0.0,15,0.0,2350,21.974,592.4666667,4
1984,Pickup Trucks,2,Auto,8.0,5.0,Regular Gasoline,12,16,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,Pickup Trucks,2,Auto,8.0,5.0,Regular Gasoline,11,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,Pickup Trucks,2,Manual,6.0,4.9,Regular Gasoline,15,19,0.0,17,0.0,2050,19.38882353,522.7647059,3
1984,Pickup Trucks,2,Manual,8.0,5.0,Regular Gasoline,12,15,0.0,13,0.0,2700,25.35461538,683.6153846,3
1984,Pickup Trucks,2,Manual,6.0,4.9,Regular Gasoline,15,17,0.0,15,0.0,2350,21.974,592.4666667,3
1984,Pickup Trucks,2,Manual,6.0,4.9,Regular Gasoline,16,22,0.0,18,0.0,1950,18.31166667,493.7222222,4
1984,Pickup Trucks,2,Manual,8.0,5.0,Regular Gasoline,13,17,0.0,15,0.0,2350,21.974,592.4666667,4
1984,Pickup Trucks,2,Manual,6.0,4.9,Regular Gasoline,15,20,0.0,16,0.0,2200,20.600625,555.4375,4
1984,Pickup Trucks,2,Manual,6.0,4.9,Regular Gasoline,15,19,0.0,17,0.0,2050,19.38882353,522.7647059,4
1984,Pickup Trucks,4|All Wheel ,Auto,6.0,4.9,Regular Gasoline,12,13,0.0,13,0.0,2700,25.35461538,683.6153846,3
1984,Pickup Trucks,4|All Wheel ,Manual,6.0,4.9,Regular Gasoline,14,17,0.0,15,0.0,2350,21.974,592.4666667,4
1984,Pickup Trucks,4|All Wheel ,Manual,6.0,4.9,Regular Gasoline,14,15,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,Pickup Trucks,4|All Wheel ,Manual,8.0,5.0,Regular Gasoline,11,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,Pickup Trucks,4|All Wheel ,Manual,6.0,4.9,Regular Gasoline,13,17,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,Pickup Trucks,4|All Wheel ,Manual,6.0,4.9,Regular Gasoline,13,15,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,Pickup Trucks,2,Auto,6.0,4.9,Regular Gasoline,12,15,0.0,13,0.0,2700,25.35461538,683.6153846,3
1984,Pickup Trucks,2,Auto,8.0,5.0,Regular Gasoline,12,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,Pickup Trucks,2,Manual,6.0,4.9,Regular Gasoline,14,15,0.0,14,0.0,2500,23.54357143,634.7857143,3
1984,Pickup Trucks,2,Manual,8.0,5.0,Regular Gasoline,13,17,0.0,15,0.0,2350,21.974,592.4666667,4
1984,Pickup Trucks,2,Manual,8.0,5.0,Regular Gasoline,11,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,Pickup Trucks,2,Manual,6.0,4.9,Regular Gasoline,13,16,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,Pickup Trucks,2,Manual,6.0,4.9,Regular Gasoline,14,15,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,Pickup Trucks,4|All Wheel ,Auto,6.0,4.9,Regular Gasoline,12,13,0.0,13,0.0,2700,25.35461538,683.6153846,3
1984,Pickup Trucks,4|All Wheel ,Manual,6.0,4.9,Regular Gasoline,13,15,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,Small Pickup Trucks,2,Auto,4.0,2.3,Regular Gasoline,18,22,0.0,19,0.0,1850,17.34789474,467.7368421,3
1984,Small Pickup Trucks,2,Auto,6.0,2.8,Regular Gasoline,16,21,0.0,18,0.0,1950,18.31166667,493.7222222,3
1984,Small Pickup Trucks,2,Auto,4.0,2.3,Regular Gasoline,18,20,0.0,19,0.0,1850,17.34789474,467.7368421,3
1984,Small Pickup Trucks,2,Auto,6.0,2.8,Regular Gasoline,15,19,0.0,17,0.0,2050,19.38882353,522.7647059,3
1984,Small Pickup Trucks,2,Manual,4.0,2.0,Regular Gasoline,21,28,0.0,24,0.0,1450,13.73375,370.2916667,4
1984,Small Pickup Trucks,2,Manual,4.0,2.2,Diesel,25,28,0.0,26,0.0,1500,14.69942308,391.5384615,4
1984,Small Pickup Trucks,2,Manual,4.0,2.3,Regular Gasoline,19,24,0.0,21,0.0,1650,15.69571429,423.1904762,4
1984,Small Pickup Trucks,2,Manual,4.0,2.3,Regular Gasoline,17,22,0.0,19,0.0,1850,17.34789474,467.7368421,4
1984,Small Pickup Trucks,2,Manual,6.0,2.8,Regular Gasoline,18,23,0.0,20,0.0,1750,16.4805,444.35,4
1984,Small Pickup Trucks,2,Manual,6.0,2.8,Regular Gasoline,17,22,0.0,19,0.0,1850,17.34789474,467.7368421,4
1984,Small Pickup Trucks,2,Manual,4.0,2.0,Regular Gasoline,20,26,0.0,22,0.0,1600,14.98227273,403.9545455,5
1984,Small Pickup Trucks,2,Manual,4.0,2.3,Regular Gasoline,19,24,0.0,21,0.0,1650,15.69571429,423.1904762,5
1984,Small Pickup Trucks,2,Manual,4.0,2.3,Regular Gasoline,17,22,0.0,19,0.0,1850,17.34789474,467.7368421,5
1984,Small Pickup Trucks,2,Manual,6.0,2.8,Regular Gasoline,17,24,0.0,19,0.0,1850,17.34789474,467.7368421,5
1984,Small Pickup Trucks,2,Manual,6.0,2.8,Regular Gasoline,16,22,0.0,18,0.0,1950,18.31166667,493.7222222,5
1984,Small Pickup Trucks,4|All Wheel ,Auto,6.0,2.8,Regular Gasoline,15,17,0.0,15,0.0,2350,21.974,592.4666667,3
1984,Small Pickup Trucks,4|All Wheel ,Auto,6.0,2.8,Regular Gasoline,13,15,0.0,14,0.0,2500,23.54357143,634.7857143,3
1984,Small Pickup Trucks,4|All Wheel ,Manual,4.0,2.3,Regular Gasoline,18,21,0.0,19,0.0,1850,17.34789474,467.7368421,4
1984,Small Pickup Trucks,4|All Wheel ,Manual,4.0,2.3,Regular Gasoline,16,21,0.0,18,0.0,1950,18.31166667,493.7222222,4
1984,Small Pickup Trucks,4|All Wheel ,Manual,6.0,2.8,Regular Gasoline,17,22,0.0,19,0.0,1850,17.34789474,467.7368421,4
1984,Small Pickup Trucks,4|All Wheel ,Manual,4.0,2.3,Regular Gasoline,17,20,0.0,18,0.0,1950,18.31166667,493.7222222,4
1984,Small Pickup Trucks,4|All Wheel ,Manual,6.0,2.8,Regular Gasoline,15,19,0.0,17,0.0,2050,19.38882353,522.7647059,4
1984,Small Pickup Trucks,4|All Wheel ,Manual,4.0,2.3,Regular Gasoline,18,23,0.0,20,0.0,1750,16.4805,444.35,5
1984,Small Pickup Trucks,4|All Wheel ,Manual,4.0,2.3,Regular Gasoline,16,22,0.0,18,0.0,1950,18.31166667,493.7222222,5
1984,Small Pickup Trucks,4|All Wheel ,Manual,6.0,2.8,Regular Gasoline,15,21,0.0,17,0.0,2050,19.38882353,522.7647059,5
1984,Small Pickup Trucks,4|All Wheel ,Manual,6.0,2.8,Regular Gasoline,15,20,0.0,17,0.0,2050,19.38882353,522.7647059,5
1984,Special Purpose Vehicle,2,Manual,4.0,2.3,Regular Gasoline,16,18,0.0,17,0.0,2050,19.38882353,522.7647059,4
1984,Special Purpose Vehicle,2,Manual,6.0,2.8,Regular Gasoline,13,15,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,Special Purpose Vehicle,2,Manual,4.0,2.3,Regular Gasoline,16,19,0.0,17,0.0,2050,19.38882353,522.7647059,4
1984,Pickup Trucks,2,Auto,6.0,4.1,Regular Gasoline,14,17,0.0,15,0.0,2350,21.974,592.4666667,3
1984,Pickup Trucks,2,Auto,8.0,5.0,Regular Gasoline,13,16,0.0,14,0.0,2500,23.54357143,634.7857143,3
1984,Pickup Trucks,2,Auto,6.0,4.1,Regular Gasoline,15,19,0.0,16,0.0,2200,20.600625,555.4375,4
1984,Pickup Trucks,2,Auto,8.0,5.0,Regular Gasoline,14,18,0.0,15,0.0,2350,21.974,592.4666667,4
1984,Pickup Trucks,2,Auto,8.0,6.2,Diesel,17,22,0.0,19,0.0,2050,20.115,535.7894737,4
1984,Pickup Trucks,2,Auto,6.0,4.1,Regular Gasoline,14,17,0.0,15,0.0,2350,21.974,592.4666667,4
1984,Pickup Trucks,2,Auto,8.0,5.0,Regular Gasoline,13,17,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,Pickup Trucks,2,Manual,6.0,4.1,Regular Gasoline,15,19,0.0,17,0.0,2050,19.38882353,522.7647059,3
1984,Pickup Trucks,2,Manual,8.0,5.0,Regular Gasoline,14,17,0.0,15,0.0,2350,21.974,592.4666667,3
1984,Pickup Trucks,2,Manual,6.0,4.1,Regular Gasoline,14,17,0.0,15,0.0,2350,21.974,592.4666667,3
1984,Pickup Trucks,2,Manual,6.0,4.1,Regular Gasoline,15,20,0.0,17,0.0,2050,19.38882353,522.7647059,4
1984,Pickup Trucks,2,Manual,8.0,5.0,Regular Gasoline,15,17,0.0,16,0.0,2200,20.600625,555.4375,4
1984,Pickup Trucks,2,Manual,8.0,6.2,Diesel,18,22,0.0,20,0.0,1950,19.10925,509.0,4
1984,Pickup Trucks,2,Manual,8.0,6.2,Diesel,18,20,0.0,19,0.0,2050,20.115,535.7894737,4
1984,Pickup Trucks,2,Manual,6.0,4.1,Regular Gasoline,14,18,0.0,15,0.0,2350,21.974,592.4666667,4
1984,Pickup Trucks,2,Manual,6.0,4.1,Regular Gasoline,15,19,0.0,17,0.0,2050,19.38882353,522.7647059,4
1984,Pickup Trucks,2,Manual,8.0,5.0,Regular Gasoline,14,17,0.0,15,0.0,2350,21.974,592.4666667,4
1984,Special Purpose Vehicle,2,Auto,8.0,5.0,Regular Gasoline,12,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,Special Purpose Vehicle,2,Auto,8.0,5.7,Regular Gasoline,11,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,Special Purpose Vehicle,2,Auto,8.0,6.2,Diesel,16,22,0.0,18,0.0,2150,21.2325,565.5555556,4
1984,Special Purpose Vehicle,2,Auto,8.0,6.2,Diesel,15,19,0.0,17,0.0,2250,22.48147059,598.8235294,4
1984,Pickup Trucks,2,Auto,6.0,4.1,Regular Gasoline,13,17,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,Pickup Trucks,2,Auto,8.0,5.0,Regular Gasoline,13,17,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,Pickup Trucks,2,Auto,8.0,6.2,Diesel,17,22,0.0,19,0.0,2050,20.115,535.7894737,4
1984,Pickup Trucks,2,Auto,8.0,5.7,Regular Gasoline,11,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,Pickup Trucks,2,Manual,8.0,5.0,Regular Gasoline,12,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,Pickup Trucks,2,Manual,8.0,6.2,Diesel,18,22,0.0,20,0.0,1950,19.10925,509.0,4
1984,Pickup Trucks,2,Manual,8.0,6.2,Diesel,17,19,0.0,18,0.0,2150,21.2325,565.5555556,4
1984,Pickup Trucks,2,Manual,8.0,6.2,Diesel,18,22,0.0,19,0.0,2050,20.115,535.7894737,4
1984,Pickup Trucks,2,Auto,6.0,3.8,Regular Gasoline,15,19,0.0,17,0.0,2050,19.38882353,522.7647059,3
1984,Pickup Trucks,2,Auto,8.0,5.0,Regular Gasoline,14,18,0.0,15,0.0,2350,21.974,592.4666667,3
1984,Pickup Trucks,2,Auto,8.0,5.7,Diesel,18,24,0.0,20,0.0,1950,19.10925,509.0,3
1984,Pickup Trucks,2,Auto,8.0,5.0,Regular Gasoline,14,17,0.0,15,0.0,2350,21.974,592.4666667,3
1984,Pickup Trucks,2,Auto,6.0,3.8,Regular Gasoline,15,22,0.0,18,0.0,1950,18.31166667,493.7222222,4
1984,Pickup Trucks,2,Auto,8.0,5.0,Regular Gasoline,15,20,0.0,17,0.0,2050,19.38882353,522.7647059,4
1984,Pickup Trucks,2,Auto,8.0,5.7,Diesel,18,26,0.0,21,0.0,1850,18.19928571,484.7619048,4
1984,"Vans, Passenger Type",2,Auto,6.0,4.1,Regular Gasoline,13,16,0.0,14,0.0,2500,23.54357143,634.7857143,3
1984,"Vans, Passenger Type",2,Auto,8.0,5.0,Regular Gasoline,11,15,0.0,13,0.0,2700,25.35461538,683.6153846,3
1984,"Vans, Passenger Type",2,Auto,6.0,4.1,Regular Gasoline,13,17,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,"Vans, Passenger Type",2,Auto,8.0,5.0,Regular Gasoline,12,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,"Vans, Passenger Type",2,Auto,8.0,5.7,Regular Gasoline,11,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,"Vans, Passenger Type",2,Auto,8.0,6.2,Diesel,16,22,0.0,18,0.0,2150,21.2325,565.5555556,4
1984,"Vans, Passenger Type",2,Auto,8.0,6.2,Diesel,15,19,0.0,17,0.0,2250,22.48147059,598.8235294,4
1984,"Vans, Passenger Type",2,Manual,6.0,4.1,Regular Gasoline,13,15,0.0,14,0.0,2500,23.54357143,634.7857143,3
1984,"Vans, Passenger Type",2,Manual,8.0,6.2,Diesel,17,20,0.0,18,0.0,2150,21.2325,565.5555556,4
1984,"Vans, Passenger Type",2,Manual,8.0,6.2,Diesel,18,20,0.0,19,0.0,2050,20.115,535.7894737,4
1984,Special Purpose Vehicle,4|All Wheel ,Auto,8.0,5.0,Regular Gasoline,12,16,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,Special Purpose Vehicle,4|All Wheel ,Auto,8.0,6.2,Diesel,16,20,0.0,18,0.0,2150,21.2325,565.5555556,4
1984,Special Purpose Vehicle,4|All Wheel ,Auto,8.0,6.2,Diesel,15,19,0.0,16,0.0,2400,23.8865625,636.25,4
1984,Special Purpose Vehicle,4|All Wheel ,Manual,8.0,5.0,Regular Gasoline,12,16,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,Pickup Trucks,4|All Wheel ,Auto,6.0,4.1,Regular Gasoline,14,17,0.0,15,0.0,2350,21.974,592.4666667,4
1984,Pickup Trucks,4|All Wheel ,Auto,8.0,5.0,Regular Gasoline,13,16,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,Pickup Trucks,4|All Wheel ,Auto,8.0,6.2,Diesel,16,20,0.0,18,0.0,2150,21.2325,565.5555556,4
1984,Pickup Trucks,4|All Wheel ,Auto,8.0,5.7,Regular Gasoline,11,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,Pickup Trucks,4|All Wheel ,Auto,8.0,6.2,Diesel,15,20,0.0,17,0.0,2250,22.48147059,598.8235294,4
1984,Pickup Trucks,4|All Wheel ,Manual,6.0,4.1,Regular Gasoline,13,17,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,Pickup Trucks,4|All Wheel ,Manual,6.0,4.1,Regular Gasoline,13,16,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,Pickup Trucks,4|All Wheel ,Manual,8.0,5.0,Regular Gasoline,11,15,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,Pickup Trucks,4|All Wheel ,Manual,8.0,5.0,Regular Gasoline,12,16,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,Pickup Trucks,4|All Wheel ,Manual,8.0,6.2,Diesel,17,20,0.0,18,0.0,2150,21.2325,565.5555556,4
1984,Pickup Trucks,4|All Wheel ,Manual,8.0,6.2,Diesel,17,18,0.0,17,0.0,2250,22.48147059,598.8235294,4
1984,Special Purpose Vehicle,4|All Wheel ,Auto,8.0,6.2,Diesel,15,20,0.0,16,0.0,2400,23.8865625,636.25,4
1984,Pickup Trucks,4|All Wheel ,Auto,8.0,6.2,Diesel,16,20,0.0,18,0.0,2150,21.2325,565.5555556,4
1984,Pickup Trucks,4|All Wheel ,Manual,8.0,6.2,Diesel,17,20,0.0,18,0.0,2150,21.2325,565.5555556,4
1984,Pickup Trucks,4|All Wheel ,Manual,8.0,6.2,Diesel,16,18,0.0,17,0.0,2250,22.48147059,598.8235294,4
1984,Special Purpose Vehicle,2,Auto,6.0,2.8,Regular Gasoline,13,13,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,Special Purpose Vehicle,2,Auto,6.0,2.8,Regular Gasoline,13,15,0.0,14,0.0,2500,23.54357143,634.7857143,4
1984,Special Purpose Vehicle,2,Manual,4.0,2.0,Regular Gasoline,15,16,0.0,15,0.0,2350,21.974,592.4666667,4
1984,Special Purpose Vehicle,2,Manual,6.0,2.8,Regular Gasoline,13,14,0.0,13,0.0,2700,25.35461538,683.6153846,4
1984,Special Purpose Vehicle,2,Auto,4.0,2.0,Regular Gasoline,19,24,0.0,21,0.0,1650,15.69571429,423.1904762,3
1984,Special Purpose Vehicle,2,Auto,6.0,2.8,Regular Gasoline,16,22,0.0,18,0.0,1950,18.31166667,493.7222222,4
1984,Special Purpose Vehicle,2,Auto,6.0,2.8,Regular Gasoline,17,24,0.0,19,0.0,1850,17.34789474,467.7368421,4
1984,Special Purpose Vehicle,2,Manual,4.0,2.0,Regular Gasoline,19,25,0.0,21,0.0,1650,15.69571429,423.1904762,4
1984,Special Purpose Vehicle,2,Manual,6.0,2.8,Regular Gasoline,16,22,0.0,18,0.0,1950,18.31166667,493.7222222,4
1984,Special Purpose Vehicle,2,Manual,4.0,2.0,Regular Gasoline,20,26,0.0,22,0.0,1600,14.98227273,403.9545455,4
1984,Special Purpose Vehicle,2,Manual,4.0,2.0,Regular Gasoline,20,26,0.0,22,0.0,1600,14.98227273,403.9545455,5
1984,Special Purpose Vehicle,2,Manual,6.0,2.8,Regular Gasoline,16,22,0.0,18,0.0,1950,18.31166667,493.7222222,5
1984,Special Purpose Vehicle,2,Manual,4.0,2.0,Regular Gasoline,20,27,0.0,23,0.0,1500,14.33086957,386.3913043,5
1984,Small Pickup Trucks,2,Auto,4.0,2.0,Regular Gasoline,18,24,0.0,20,0.0,1750,16.4805,444.35,3
1984,Small Pickup Trucks,2,Auto,4.0,2.0,Regular Gasoline,18,24,0.0,20,0.0,1750,16.4805,444.35,4
1984,Small Pickup Trucks,2,Auto,6.0,2.8,Regular Gasoline,16,22,0.0,18,0.0,1950,18.31166667,493.7222222,4
1984,Small Pickup Trucks,2,Auto,6.0,2.8,Regular Gasoline,17,24,0.0,19,0.0,1850,17.34789474,467.7368421,4
1984,Small Pickup Trucks,2,Manual,4.0,2.0,Regular Gasoline,21,29,0.0,24,0.0,1450,13.73375,370.2916667,4
1984,Small Pickup Trucks,2,Manual,4.0,2.0,Regular Gasoline,19,25,0.0,21,0.0,1650,15.69571429,423.1904762,4
1984,Small Pickup Trucks,2,Manual,4.0,2.2,Diesel,26,31,0.0,28,0.0,1400,13.64946429,363.5714286,4
1984,Small Pickup Trucks,2,Manual,6.0,2.8,Regular Gasoline,16,21,0.0,18,0.0,1950,18.31166667,493.7222222,4
1984,Small Pickup Trucks,2,Manual,4.0,2.0,Regular Gasoline,21,26,0.0,23,0.0,1500,14.33086957,386.3913043,4
1984,Small Pickup Trucks,2,Manual,6.0,2.8,Regular Gasoline,16,22,0.0,18,0.0,1950,18.31166667,493.7222222,4
1984,Small Pickup Trucks,2,Manual,4.0,2.0,Regular Gasoline,23,31,0.0,26,0.0,1350,12.67730769,341.8076923,5
1984,Small Pickup Trucks,2,Manual,4.0,2.0,Regular Gasoline,20,26,0.0,22,0.0,1600,14.98227273,403.9545455,5
1984,Small Pickup Trucks,2,Manual,4.0,2.2,Diesel,26,32,0.0,29,0.0,1350,13.1787931,351.0344828,5
1984,Small Pickup Trucks,2,Manual,6.0,2.8,Regular Gasoline,16,22,0.0,18,0.0,1950,18.31166667,493.7222222,5
1984,Small Pickup Trucks,2,Manual,4.0,2.0,Regular Gasoline,20,27,0.0,23,0.0,1500,14.33086957,386.3913043,5
1984,Small Pickup Trucks,2,Manual,4.0,2.2,Diesel,26,31,0.0,28,0.0,1400,13.64946429,363.5714286,5
1984,Small Pickup Trucks,2,Manual,6.0,2.8,Regular Gasoline,16,23,0.0,19,0.0,1850,17.34789474,467.7368421,5
1984,Special Purpose Vehicle,2,Auto,6.0,2.8,Regular Gasoline,16,22,0.0,18,0.0,1950,18.31166667,493.7222222,4
1984,Special Purpose Vehicle,2,Manual,6.0,2.8,Regular Gasoline,16,22,0.0,18,0.0,1950,18.31166667,493.7222222,4
1984,Special Purpose Vehicle,4|All Wheel ,Auto,6.0,2.8,Regular Gasoline,15,22,0.0,18,0.0,1950,18.31166667,493.7222222,4
1984,Special Purpose Vehicle,4|All Wheel ,Manual,4.0,2.0,Regular Gasoline,18,24,0.0,20,0.0,1750,16.4805,444.35,4
1984,Special Purpose Vehicle,4|All Wheel ,Manual,6.0,2.8,Regular Gasoline,15,20,0.0,17,0.0,2050,19.38882353,522.7647059,4
1984,Special Purpose Vehicle,4|All Wheel ,Manual,4.0,2.0,Regular Gasoline,18,23,0.0,20,0.0,1750,16.4805,444.35,4
1984,Special Purpose Vehicle,4|All Wheel ,Manual,4.0,2.0,Regular Gasoline,18,23,0.0,20,0.0,1750,16.4805,444.35,5
1984,Special Purpose Vehicle,4|All Wheel ,Manual,6.0,2.8,Regular Gasoline,15,22,0.0,17,0.0,2050,19.38882353,522.7647059,5
1984,Special Purpose Vehicle,4|All Wheel ,Manual,4.0,2.0,Regular Gasoline,17,24,0.0,20,0.0,1750,16.4805,444.35,5
1984,Pickup Trucks,4|All Wheel ,Auto,6.0,2.8,Regular Gasoline,16,22,0.0,18,0.0,1950,18.31166667,493.7222222,4
1984,Pickup Trucks,4|All Wheel ,Manual,4.0,2.0,Regular Gasoline,18,23,0.0,20,0.0,1750,16.4805,444.35,4
1984,Pickup Trucks,4|All Wheel ,Manual,6.0,2.8,Regular Gasoline,15,20,0.0,17,0.0,2050,19.38882353,522.7647059,4
